00|xx|89|9|************************************
01|xx|99|10|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************
xx|xx|xx|xx|***********************************

